,Unnamed: 0,Time.results.were.received,MD5.hash.of.participant.s.IP.address,Controller.name,Item.number,Element.number,Type,Group.Ibex,PennElementType,PennElementName,Parameter,Value,EventTime,ID,Study,SentNumber,WhichCategory,Matrix,Subject,Predicate,SentType,Negation,CompTruth,SubStat,Token,MatchingCategory,MismatchingCategory,Group,Comments,study,order,goal,Verb
315,316,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,26,1,test,,PennController,27,_Trial_,Start,1587058812173.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,tunas,fishes,birds,G,,cb,2,none,know
316,317,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,26,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058818678.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,tunas,fishes,birds,G,,cb,2,none,know
317,318,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,26,1,test,,PennController,27,_Trial_,End,1587058818679.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,tunas,fishes,birds,G,,cb,2,none,know
327,328,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,27,1,test,,PennController,28,_Trial_,Start,1587058827975.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,monkeys,mammals,fruit,G,,cb,2,none,know
328,329,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,27,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058835354.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,monkeys,mammals,fruit,G,,cb,2,none,know
329,330,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,27,1,test,,PennController,28,_Trial_,End,1587058835355.0,19705,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,monkeys,mammals,fruit,G,,cb,2,none,know
339,340,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,21,1,test,,PennController,22,_Trial_,Start,1587058846057.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,kiwis,fruits,insects,G,,cb,2,none,know
340,341,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,21,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058848108.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,kiwis,fruits,insects,G,,cb,2,none,know
341,342,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,21,1,test,,PennController,22,_Trial_,End,1587058848109.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,kiwis,fruits,insects,G,,cb,2,none,know
343,344,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,29,1,test,,PennController,30,_Trial_,Start,1587058850521.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cows,mammals,fruit,G,,cb,2,none,know
344,345,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,29,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058859662.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cows,mammals,fruit,G,,cb,2,none,know
345,346,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,29,1,test,,PennController,30,_Trial_,End,1587058859663.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cows,mammals,fruit,G,,cb,2,none,know
347,348,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,23,1,test,,PennController,24,_Trial_,Start,1587058862062.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,oranges,fruits,insects,G,,cb,2,none,know
348,349,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,23,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058863195.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,oranges,fruits,insects,G,,cb,2,none,know
349,350,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,23,1,test,,PennController,24,_Trial_,End,1587058863196.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,oranges,fruits,insects,G,,cb,2,none,know
351,352,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,19,1,test,,PennController,20,_Trial_,Start,1587058865255.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,watermellon,fruits,insects,G,,cb,2,none,know
352,353,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,19,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058871820.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,watermellon,fruits,insects,G,,cb,2,none,know
353,354,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,19,1,test,,PennController,20,_Trial_,End,1587058871821.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,watermellon,fruits,insects,G,,cb,2,none,know
355,356,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,22,1,test,,PennController,23,_Trial_,Start,1587058874234.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,vultures,birds,reptiles,G,,cb,2,none,know
356,357,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,22,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058875144.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,vultures,birds,reptiles,G,,cb,2,none,know
357,358,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,22,1,test,,PennController,23,_Trial_,End,1587058875145.0,19705,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,vultures,birds,reptiles,G,,cb,2,none,know
359,360,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,25,1,test,,PennController,26,_Trial_,Start,1587058877556.0,19705,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,bears,mammals,fruit,G,,cb,2,none,know
360,361,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,25,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058878664.0,19705,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,bears,mammals,fruit,G,,cb,2,none,know
361,362,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,25,1,test,,PennController,26,_Trial_,End,1587058878665.0,19705,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,bears,mammals,fruit,G,,cb,2,none,know
363,364,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,28,1,test,,PennController,29,_Trial_,Start,1587058881074.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,trouts,fishes,birds,G,,cb,2,none,know
364,365,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,28,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058884161.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,trouts,fishes,birds,G,,cb,2,none,know
365,366,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,28,1,test,,PennController,29,_Trial_,End,1587058884162.0,19705,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,trouts,fishes,birds,G,,cb,2,none,know
367,368,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,24,1,test,,PennController,25,_Trial_,Start,1587058886577.0,19705,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,salmon,fishes,birds,G,,cb,2,none,know
368,369,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,24,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058887609.0,19705,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,salmon,fishes,birds,G,,cb,2,none,know
369,370,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,24,1,test,,PennController,25,_Trial_,End,1587058887609.0,19705,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,salmon,fishes,birds,G,,cb,2,none,know
371,372,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,20,1,test,,PennController,21,_Trial_,Start,1587058889653.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,pigeons,birds,reptiles,G,,cb,2,none,know
372,373,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,20,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587058890576.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,pigeons,birds,reptiles,G,,cb,2,none,know
373,374,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,20,1,test,,PennController,21,_Trial_,End,1587058890576.0,19705,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,pigeons,birds,reptiles,G,,cb,2,none,know
375,376,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,18,1,test,,PennController,19,_Trial_,Start,1587058892626.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,parrots,birds,reptiles,G,,cb,2,none,know
376,377,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,18,1,test,,Selector,unnamed-Selector,Selection,Agree,1587058893086.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,parrots,birds,reptiles,G,,cb,2,none,know
377,378,1587058916,b42188c98183a8de3a203ac774bbe3f0,PennController,18,1,test,,PennController,19,_Trial_,End,1587058893086.0,19705,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,parrots,birds,reptiles,G,,cb,2,none,know
463,464,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,24,1,test,,PennController,25,_Trial_,Start,1587059443756.0,18379,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,tunas,fishes,birds,H,,cb,2,none,know
464,465,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,24,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587059443990.0,18379,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,tunas,fishes,birds,H,,cb,2,none,know
465,466,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,24,1,test,,PennController,25,_Trial_,End,1587059443990.0,18379,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,tunas,fishes,birds,H,,cb,2,none,know
467,468,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,21,1,test,,PennController,22,_Trial_,Start,1587059446007.0,18379,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,oranges,fruits,insects,H,,cb,2,none,know
468,469,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,21,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587059446611.0,18379,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,oranges,fruits,insects,H,,cb,2,none,know
469,470,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,21,1,test,,PennController,22,_Trial_,End,1587059446612.0,18379,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,oranges,fruits,insects,H,,cb,2,none,know
471,472,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,22,1,test,,PennController,23,_Trial_,Start,1587059448981.0,18379,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,salmon,fishes,birds,H,,cb,2,none,know
472,473,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,22,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587059449640.0,18379,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,salmon,fishes,birds,H,,cb,2,none,know
473,474,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,22,1,test,,PennController,23,_Trial_,End,1587059449642.0,18379,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,salmon,fishes,birds,H,,cb,2,none,know
479,480,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,28,1,test,,PennController,29,_Trial_,Start,1587059455097.0,18379,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cobras,reptiles,mammals,H,,cb,2,none,know
480,481,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,28,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059458853.0,18379,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cobras,reptiles,mammals,H,,cb,2,none,know
481,482,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,28,1,test,,PennController,29,_Trial_,End,1587059458855.0,18379,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,cobras,reptiles,mammals,H,,cb,2,none,know
483,484,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,29,1,test,,PennController,30,_Trial_,Start,1587059461227.0,18379,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,ticks,insects,fishes,H,,cb,2,none,know
484,485,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,29,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059463280.0,18379,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,ticks,insects,fishes,H,,cb,2,none,know
485,486,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,29,1,test,,PennController,30,_Trial_,End,1587059463280.0,18379,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,ticks,insects,fishes,H,,cb,2,none,know
487,488,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,23,1,test,,PennController,24,_Trial_,Start,1587059465649.0,18379,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,bears,mammals,fruit,H,,cb,2,none,know
488,489,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,23,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587059466979.0,18379,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,bears,mammals,fruit,H,,cb,2,none,know
489,490,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,23,1,test,,PennController,24,_Trial_,End,1587059466979.0,18379,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,bears,mammals,fruit,H,,cb,2,none,know
491,492,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,27,1,test,,PennController,28,_Trial_,Start,1587059469344.0,18379,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,cows,mammals,fruit,H,,cb,2,none,know
492,493,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,27,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059470730.0,18379,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,cows,mammals,fruit,H,,cb,2,none,know
493,494,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,27,1,test,,PennController,28,_Trial_,End,1587059470730.0,18379,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,cows,mammals,fruit,H,,cb,2,none,know
503,504,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,20,1,test,,PennController,21,_Trial_,Start,1587059479818.0,18379,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,vultures,birds,reptiles,H,,cb,2,none,know
504,505,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,20,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587059481552.0,18379,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,vultures,birds,reptiles,H,,cb,2,none,know
505,506,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,20,1,test,,PennController,21,_Trial_,End,1587059481554.0,18379,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,vultures,birds,reptiles,H,,cb,2,none,know
507,508,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,26,1,test,,PennController,27,_Trial_,Start,1587059483927.0,18379,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,trouts,fishes,birds,H,,cb,2,none,know
508,509,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,26,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059485060.0,18379,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,trouts,fishes,birds,H,,cb,2,none,know
509,510,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,26,1,test,,PennController,27,_Trial_,End,1587059485061.0,18379,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,trouts,fishes,birds,H,,cb,2,none,know
511,512,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,18,1,test,,PennController,19,_Trial_,Start,1587059487078.0,18379,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,pigeons,birds,reptiles,H,,cb,2,none,know
512,513,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,18,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059488548.0,18379,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,pigeons,birds,reptiles,H,,cb,2,none,know
513,514,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,18,1,test,,PennController,19,_Trial_,End,1587059488549.0,18379,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,pigeons,birds,reptiles,H,,cb,2,none,know
515,516,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,19,1,test,,PennController,20,_Trial_,Start,1587059490563.0,18379,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,kiwis,fruits,insects,H,,cb,2,none,know
516,517,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,19,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059491309.0,18379,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,kiwis,fruits,insects,H,,cb,2,none,know
517,518,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,19,1,test,,PennController,20,_Trial_,End,1587059491310.0,18379,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,kiwis,fruits,insects,H,,cb,2,none,know
523,524,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,25,1,test,,PennController,26,_Trial_,Start,1587059497673.0,18379,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,monkeys,mammals,fruit,H,,cb,2,none,know
524,525,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,25,1,test,,Selector,unnamed-Selector,Selection,Agree,1587059500369.0,18379,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,monkeys,mammals,fruit,H,,cb,2,none,know
525,526,1587059572,fc5c9be6faccd7e3df02bc4439b423a3,PennController,25,1,test,,PennController,26,_Trial_,End,1587059500371.0,18379,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,monkeys,mammals,fruit,H,,cb,2,none,know
595,596,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,20,1,test,,PennController,21,_Trial_,Start,1587060167429.0,17410,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,salmon,fishes,birds,I,,cb,2,none,know
596,597,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,20,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060168944.0,17410,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,salmon,fishes,birds,I,,cb,2,none,know
597,598,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,20,1,test,,PennController,21,_Trial_,End,1587060168944.0,17410,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,salmon,fishes,birds,I,,cb,2,none,know
603,604,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,19,1,test,,PennController,20,_Trial_,Start,1587060179100.0,17410,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,oranges,fruits,insects,I,,cb,2,none,know
604,605,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,19,1,test,,Selector,unnamed-Selector,Selection,Agree,1587060182361.0,17410,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,oranges,fruits,insects,I,,cb,2,none,know
605,606,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,19,1,test,,PennController,20,_Trial_,End,1587060182362.0,17410,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,oranges,fruits,insects,I,,cb,2,none,know
607,608,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,21,1,test,,PennController,22,_Trial_,Start,1587060184398.0,17410,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,bears,mammals,fruit,I,,cb,2,none,know
608,609,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,21,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060185049.0,17410,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,bears,mammals,fruit,I,,cb,2,none,know
609,610,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,21,1,test,,PennController,22,_Trial_,End,1587060185049.0,17410,CB,2,Mismatching,Zoologists know that,Token,Category,T2,0.0,0,expert,bears,mammals,fruit,I,,cb,2,none,know
611,612,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,23,1,test,,PennController,24,_Trial_,Start,1587060187431.0,17410,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,monkeys,mammals,fruit,I,,cb,2,none,know
612,613,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,23,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060190085.0,17410,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,monkeys,mammals,fruit,I,,cb,2,none,know
613,614,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,23,1,test,,PennController,24,_Trial_,End,1587060190086.0,17410,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,monkeys,mammals,fruit,I,,cb,2,none,know
619,620,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,18,1,test,,PennController,19,_Trial_,Start,1587060194975.0,17410,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,vultures,birds,reptiles,I,,cb,2,none,know
620,621,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,18,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060199663.0,17410,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,vultures,birds,reptiles,I,,cb,2,none,know
621,622,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,18,1,test,,PennController,19,_Trial_,End,1587060199663.0,17410,CB,1,Matching,Zoologists know that,Token,Category,T4,0.0,1,expert,vultures,birds,reptiles,I,,cb,2,none,know
623,624,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,25,1,test,,PennController,26,_Trial_,Start,1587060202076.0,17410,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,cows,mammals,fruit,I,,cb,2,none,know
624,625,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,25,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060203158.0,17410,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,cows,mammals,fruit,I,,cb,2,none,know
625,626,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,25,1,test,,PennController,26,_Trial_,End,1587060203159.0,17410,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,cows,mammals,fruit,I,,cb,2,none,know
635,636,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,27,1,test,,PennController,28,_Trial_,Start,1587060213640.0,17410,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,ticks,insects,fishes,I,,cb,2,none,know
636,637,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,27,1,test,,Selector,unnamed-Selector,Selection,Agree,1587060214958.0,17410,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,ticks,insects,fishes,I,,cb,2,none,know
637,638,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,27,1,test,,PennController,28,_Trial_,End,1587060214959.0,17410,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,ticks,insects,fishes,I,,cb,2,none,know
639,640,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,24,1,test,,PennController,25,_Trial_,Start,1587060217357.0,17410,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,trouts,fishes,birds,I,,cb,2,none,know
640,641,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,24,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060218311.0,17410,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,trouts,fishes,birds,I,,cb,2,none,know
641,642,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,24,1,test,,PennController,25,_Trial_,End,1587060218312.0,17410,CB,4,Mismatching,Zoologists don't know that,Token,Category,T1,1.0,0,expert,trouts,fishes,birds,I,,cb,2,none,know
643,644,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,26,1,test,,PennController,27,_Trial_,Start,1587060220707.0,17410,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,cobras,reptiles,mammals,I,,cb,2,none,know
644,645,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,26,1,test,,Selector,unnamed-Selector,Selection,Agree,1587060223990.0,17410,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,cobras,reptiles,mammals,I,,cb,2,none,know
645,646,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,26,1,test,,PennController,27,_Trial_,End,1587060223991.0,17410,CB,5,Matching,Babies don't know that,Token,Category,T6,1.0,1,novice,cobras,reptiles,mammals,I,,cb,2,none,know
651,652,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,22,1,test,,PennController,23,_Trial_,Start,1587060229243.0,17410,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,tunas,fishes,birds,I,,cb,2,none,know
652,653,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,22,1,test,,Selector,unnamed-Selector,Selection,Agree,1587060231965.0,17410,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,tunas,fishes,birds,I,,cb,2,none,know
653,654,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,22,1,test,,PennController,23,_Trial_,End,1587060231966.0,17410,CB,3,Matching,Zoologists don't know that,Token,Category,T3,1.0,1,expert,tunas,fishes,birds,I,,cb,2,none,know
655,656,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,29,1,test,,PennController,30,_Trial_,Start,1587060234371.0,17410,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,beetles,insects,fishes,I,,cb,2,none,know
656,657,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,29,1,test,,Selector,unnamed-Selector,Selection,Disagree,1587060235017.0,17410,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,beetles,insects,fishes,I,,cb,2,none,know
657,658,1587060259,1870fce1b7f69d4e897b5fd63b56469f,PennController,29,1,test,,PennController,30,_Trial_,End,1587060235018.0,17410,CB,6,Mismatching,Babies don't know that,Token,Category,T5,1.0,0,novice,beetles,insects,fishes,I,,cb,2,none,know
